Location                    Item                                                      Kind    Prod  Doc  Cog
src/tools/shell.rs:75       trim_front                                                fn        11    0    2
src/tools/shell.rs:87       render                                                    fn        57    0   12
src/tools/workspace.rs:14   Workspace                                                 struct     4    0    0
src/tools/workspace.rs:19   impl Workspace                                            impl     139    1   16
src/tools/workspace.rs:20     open                                                    fn        13    0    0
src/tools/workspace.rs:34     root                                                    fn         3    0    0
src/tools/workspace.rs:38     relative                                                fn        10    0    0
src/tools/workspace.rs:50     resolve_allowing_link_target                            fn        13    1    2
src/tools/workspace.rs:64     parent                                                  fn        32    0   10
src/tools/workspace.rs:97     read_file                                               fn        16    0    1
src/tools/workspace.rs:114    directory                                               fn        12    0    1
src/tools/workspace.rs:127    regular_file                                            fn         5    0    0
src/tools/workspace.rs:133    write_file                                              fn        16    0    2
src/tools/workspace.rs:150    remove_file                                             fn         5    0    0
src/tools/workspace.rs:156    move_file                                               fn        12    0    0
src/tools.rs:11             patch                                                     mod        1    0    0
src/tools.rs:12             read                                                      mod        1    0    0
src/tools.rs:13             search                                                    mod        1    0    0
src/tools.rs:14             shell                                                     mod        1    0    0
src/tools.rs:15             workspace                                                 mod        1    0    0
src/tools.rs:17             APPLY_PATCH                                               const      1    0    0
src/tools.rs:18             READ_FILE                                                 const      1    0    0
src/tools.rs:19             GLOB                                                      const      1    0    0
src/tools.rs:20             SHELL                                                     const      1    0    0
src/tools.rs:21             GREP                                                      const      1    0    0
src/tools.rs:22             OUTPUT_LIMIT                                              const      1    0    0
src/tools.rs:24             BODY_LIMIT                                                const      1    1    0
src/tools.rs:26             MAX_TOOL_CALL_TITLE_CHARS                                 const      1    1    0
src/tools.rs:28             APPLY_PATCH_DESCRIPTION                                   const     44    0    0
src/tools.rs:79             truncate                                                  fn         7    0    2
src/tools.rs:87             bounded_result                                            fn        15    0    3
src/tools.rs:103            schemas                                                   fn        99    0    0
src/tools.rs:205            PatchArgs                                                 struct     5    0    0
src/tools.rs:212            tool_call_title                                           fn         6    3    1
src/tools.rs:219            default_tool_call_title                                   fn        10    0    1
src/tools.rs:232            describe                                                  fn        31    2    9
src/tools.rs:266            searched_path                                             fn         6    2    1
src/tools.rs:274            command_line                                              fn        12    1    2
src/tools.rs:289            shorten                                                   fn        10    2    1
src/tools.rs:302            execute                                                   fn        16    2    2
src/tools.rs:319            execute_other                                             fn        16    0    6
────────────────────────────────────────────────────────────────────────────────────────────────────────────
                                                                                              6255  356

# rsloc (file totals)
File                    Prod  Test  Doc  Cog
────────────────────────────────────────────
src/acp/convert.rs       264   118   20   19
src/acp/operations.rs     93    72    9   11
src/acp/prompt.rs        837  1744   51  130
src/acp.rs               758  1442   30   53
src/auth.rs               43    20    0    4
src/cancellation.rs       41     0    3    3
src/compaction.rs        410   436   17   74
src/hooks.rs             317    87   27   17
src/main.rs              203    87    3   24
src/openrouter.rs        682   782   39   81
src/process.rs           204     0   23   30
src/sessions.rs          866   790   79   81
src/settings.rs           62    89    3    5
